,level_0,month,day,index,dewpoints,elevation,latitude,longitude,slp,stnlp,temperatures,windspeeds
count,64415.0,64415.0,64415.0,64415.0,64390.0,64415.0,64415.0,64415.0,28513.0,63665.0,64390.0,64415.0
mean,32207.0,6.513700225102848,15.756609485368315,15551324.096998718,11.343676469574072,156.80610106341692,34.06813372661647,-83.17342629822247,1017.7325817812895,999.1729094116217,17.124733667020642,2.3325892801939228
std,18595.153131931987,3.451273285445125,8.811487712084459,9544221.998597806,8.066739712264699,182.7928611844999,2.9640876468953907,5.070035984536852,3.4293484647574695,21.20929690337048,7.62275984128876,0.8687048028981053
min,0.0,1.0,1.0,65965.23482849605,-9.643989769820973,0.1,26.0,-94.491,986.5738636363636,901.8390029325512,-2.5278617710583156,0.34705882352941175
25%,16103.5,4.0,8.0,7771998.8277137,4.371836109021355,25.899999999999995,32.338,-86.28399999999999,1015.9509127789047,990.4634285714286,10.585240445474845,1.6797195201814494
50%,32207.0,7.0,16.0,14708589.090909092,12.18619730679157,94.2,34.791,-81.994,1017.5163599182005,1006.4628272251308,17.91884040014684,2.2298479087452474
75%,48310.5,10.0,23.0,22449560.676776998,18.750793378123884,222.5,36.2945,-79.37950000000001,1019.8511508951407,1014.3343108504399,24.27833590313938,2.8848046289615366
max,64414.0,12.0,31.0,33957347.5,24.76,969.3000000000001,39.143,-75.466,1028.9091666666668,1028.4499999999998,29.755555555555556,6.921276595744681
